EntryTime,ExitTime,Symbol,Side,Score,Grade,Entry,Exit,Qty,PnL,PnLPct,RMultiple,DaysHeld,ExitReason
2026-06-17 17:13:18.606692,2026-07-05 16:06:50.865605,SUNPHARMA,SELL,70.56,IGNORE,1820.4,1904.8,125,-10550.01,-21.1,-21.1,17,STOP_EXIT
2026-07-05 16:07:08.030981,2026-07-06 08:06:14.823363,EICHERMOT,SELL,74.16,B,7339.5,7428.0,5,-442.5,-0.89,-1.03,0,STOP_EXIT
2026-07-05 16:07:53.480613,2026-07-07 07:03:42.190535,KALYANKJIL,BUY,77.34,A,382.05,360.2,66,-1442.1,-2.88,-2.91,1,STOP_EXIT
2026-07-06 08:07:10.912351,2026-07-08 09:04:41.286360,MOTILALOFS,BUY,78.67,A,949.9,909.35,35,-1419.25,-3.6,-3.68,2,STOP_EXIT
2026-07-08 11:44:50.534912,2026-07-09 07:04:34.345995,POLYCAB,BUY,76.85,A,9234.0,9041.5,2,-385.0,-1.07,-1.19,0,STOP_EXIT
2026-07-08 11:43:56.795597,2026-07-14 05:56:18.222047,BRITANNIA,BUY,76.84,A,5315.5,5267.0,9,-436.5,-1.21,-1.26,5,STOP_EXIT
2026-07-09 10:43:48.623485,2026-07-14 05:56:19.306266,INOXWIND,BUY,71.66,B,82.01,79.76,327,-735.75,-2.06,-2.06,4,STOP_EXIT
2026-07-08 11:16:47.556900,2026-07-14 08:26:46.693959,LT,BUY,78.45,A,3892.1,3849.5,10,-426.0,-1.18,-1.21,5,STOP_EXIT
2026-07-15 05:59:45.300647,2026-07-16 06:04:05.617620,SUPREMEIND,SELL,77.19,A,3444.0,3535.0,4,-364.0,-1.07,-1.24,1,STOP_EXIT
2026-07-07 07:03:56.067509,2026-07-17 10:16:23.075813,EICHERMOT,SELL,74.16,B,7557.5,7563.5,3,271.0,0.69,0.75,10,STOP_EXIT
2026-07-09 10:43:16.824800,2026-07-22 06:14:42.463261,ASHOKLEY,BUY,77.17,A,155.19,152.74,147,-360.15,-1.01,-1.01,12,STOP_EXIT
2026-07-08 11:44:44.917381,2026-07-22 09:06:39.620662,ONGC,SELL,77.7,A,247.0,251.8,100,-480.0,-1.33,-1.34,13,STOP_EXIT
2026-07-09 07:05:45.609885,2026-07-22 09:06:40.658083,OFSS,BUY,82.8,A+,10967.0,10921.0,1,608.0,1.68,2.05,13,STOP_EXIT
2026-07-14 05:56:26.895015,2026-07-23 06:18:24.713924,BDL,BUY,77.35,A,1277.5,1247.7,12,-357.6,-1.0,-1.06,9,STOP_EXIT
2026-07-08 11:15:37.180144,2026-07-23 09:05:32.965493,BLUESTARCO,BUY,78.76,A,1574.8,1633.8,16,1139.2,3.15,3.18,14,RUNNER_EXIT
2026-07-22 11:18:50.284807,2026-07-23 09:05:36.123134,INDIGO,BUY,78.51,A,5117.0,5029.5,4,-350.0,-1.03,-1.13,0,STOP_EXIT
2026-07-22 06:23:06.902727,2026-07-23 11:19:02.185131,PERSISTENT,BUY,83.6,A+,5113.7,5001.9,3,-335.4,-0.99,-1.32,1,STOP_EXIT
2026-07-14 05:56:28.695946,2026-07-24 06:13:31.524510,ETERNAL,BUY,77.52,A,282.4,279.45,87,214.25,0.6,0.6,10,STOP_EXIT
2026-07-22 06:14:50.723945,2026-07-24 06:13:33.237626,ASHOKLEY,BUY,71.97,B,152.74,149.38,127,-426.72,-1.25,-1.25,1,STOP_EXIT
